Executing /workspace/m1_dev/python_env/../adarand/ada_rand.py
Config: {'seed': 42, 'val_ratio': 0.2, 'data_path': PosixPath('/workspace/m1_dev/python_env/../adarand'), 'batch_size': 32, 'max_iter': 200, 'model_lr': 0.001, 'model_lr_milestones': (60, 120, 160), 'model_lr_drop_rate': 0.1, 'reg_lambda': 1.0, 'rand_lr': 0.001}
Epoch 47/200, Loss: 0.0015751749163566918, CE: 0.0001825529566684708, Reg: 0.0013926219633262, Top-1 Acc: 0.7727272727272727, Top-5 Acc: 0.9367321867321867
Epoch 48/200, Loss: 0.0014811651672241208, CE: 0.00015784927172224458, Reg: 0.0013233158964516935, Top-1 Acc: 0.7807125307125307, Top-5 Acc: 0.9385749385749386
Epoch 49/200, Loss: 0.0014114328510967528, CE: 0.0001368088407724123, Reg: 0.00127462401247487, Top-1 Acc: 0.7868550368550369, Top-5 Acc: 0.9416461916461917
Epoch 50/200, Loss: 0.0013670136290717082, CE: 0.00012929322388498547, Reg: 0.0012377204064949613, Top-1 Acc: 0.7813267813267813, Top-5 Acc: 0.9348894348894349
Epoch 51/200, Loss: 0.0013235805033169356, CE: 0.00011841570370325364, Reg: 0.001205164800957763, Top-1 Acc: 0.7856265356265356, Top-5 Acc: 0.937960687960688
Epoch 52/200, Loss: 0.001280033546316396, CE: 0.00010446024336192638, Reg: 0.0011755733032770492, Top-1 Acc: 0.7776412776412777, Top-5 Acc: 0.9367321867321867
Epoch 53/200, Loss: 0.0012499964256940657, CE: 0.0001023747918135521, Reg: 0.0011476216364073857, Top-1 Acc: 0.7825552825552825, Top-5 Acc: 0.9398034398034398
Epoch 54/200, Loss: 0.0012360293523688327, CE: 0.00010232099358008469, Reg: 0.001133708359003801, Top-1 Acc: 0.7843980343980343, Top-5 Acc: 0.9361179361179361
Epoch 55/200, Loss: 0.007368302166007753, CE: 0.005630552170456894, Reg: 0.001737749991420051, Top-1 Acc: 0.5374692874692875, Top-5 Acc: 0.808968058968059
Epoch 56/200, Loss: 0.004063801047405953, CE: 0.002217520636307383, Reg: 0.0018462804060089839, Top-1 Acc: 0.7100737100737101, Top-5 Acc: 0.9115479115479116
Epoch 57/200, Loss: 0.0021186895889867777, CE: 0.0005462109439563594, Reg: 0.0015724786411594653, Top-1 Acc: 0.7530712530712531, Top-5 Acc: 0.9281326781326781
Epoch 58/200, Loss: 0.0016033247846128245, CE: 0.00020878026258699904, Reg: 0.0013945445205025338, Top-1 Acc: 0.7708845208845209, Top-5 Acc: 0.9373464373464373
Epoch 59/200, Loss: 0.0014683776724340367, CE: 0.0001521225245336869, Reg: 0.0013162551471835066, Top-1 Acc: 0.7764127764127764, Top-5 Acc: 0.9361179361179361
Epoch 60/200, Loss: 0.0013949325660317035, CE: 0.00010977571943880626, Reg: 0.0012851568429818, Top-1 Acc: 0.7745700245700246, Top-5 Acc: 0.9373464373464373
Epoch 61/200, Loss: 0.0013863506131654082, CE: 0.00011173036791615903, Reg: 0.001274620241306612, Top-1 Acc: 0.7745700245700246, Top-5 Acc: 0.9355036855036855
Epoch 62/200, Loss: 0.0013745936388471003, CE: 0.00010856689556837002, Reg: 0.0012660267426783743, Top-1 Acc: 0.7751842751842751, Top-5 Acc: 0.9367321867321867
Epoch 63/200, Loss: 0.0013645686750561733, CE: 0.00010582210667823611, Reg: 0.0012587465660123549, Top-1 Acc: 0.7782555282555282, Top-5 Acc: 0.9367321867321867
Epoch 64/200, Loss: 0.0013541059076483248, CE: 0.00010345398279662781, Reg: 0.0012506519253893292, Top-1 Acc: 0.7776412776412777, Top-5 Acc: 0.937960687960688
Epoch 65/200, Loss: 0.0013490621192068816, CE: 0.00010560704361841775, Reg: 0.0012434550768608604, Top-1 Acc: 0.777027027027027, Top-5 Acc: 0.9385749385749386
Epoch 66/200, Loss: 0.0013322717500988193, CE: 9.58515061813222e-05, Reg: 0.001236420244051905, Top-1 Acc: 0.7776412776412777, Top-5 Acc: 0.9336609336609336
Epoch 67/200, Loss: 0.0013297037187082867, CE: 9.75853760832556e-05, Reg: 0.001232118346944011, Top-1 Acc: 0.7757985257985258, Top-5 Acc: 0.9373464373464373
Epoch 68/200, Loss: 0.0013208687999354575, CE: 9.76363120965741e-05, Reg: 0.0012232324864320787, Top-1 Acc: 0.777027027027027, Top-5 Acc: 0.9367321867321867
Epoch 69/200, Loss: 0.0013089743700896944, CE: 9.533642400030318e-05, Reg: 0.0012136379496556857, Top-1 Acc: 0.7837837837837838, Top-5 Acc: 0.9373464373464373
Epoch 70/200, Loss: 0.001299540618356556, CE: 9.356769865926119e-05, Reg: 0.001205972922860365, Top-1 Acc: 0.7751842751842751, Top-5 Acc: 0.9404176904176904
Epoch 71/200, Loss: 0.0012906325420162874, CE: 9.339126433045695e-05, Reg: 0.001197241275947486, Top-1 Acc: 0.7800982800982801, Top-5 Acc: 0.9373464373464373
Epoch 72/200, Loss: 0.001276825408432908, CE: 8.767833755457122e-05, Reg: 0.0011891470694446505, Top-1 Acc: 0.7843980343980343, Top-5 Acc: 0.9373464373464373
Epoch 73/200, Loss: 0.0012686654278467149, CE: 8.855950260749076e-05, Reg: 0.0011801059240833145, Top-1 Acc: 0.7856265356265356, Top-5 Acc: 0.9373464373464373
Epoch 74/200, Loss: 0.0012586577199032447, CE: 8.509918911908146e-05, Reg: 0.001173558530828966, Top-1 Acc: 0.7751842751842751, Top-5 Acc: 0.9373464373464373
Epoch 75/200, Loss: 0.001247193053562029, CE: 8.498645415941076e-05, Reg: 0.0011622065998237634, Top-1 Acc: 0.7819410319410319, Top-5 Acc: 0.9355036855036855
Epoch 76/200, Loss: 0.0012348496350528572, CE: 8.147465553793601e-05, Reg: 0.0011533749836905322, Top-1 Acc: 0.7819410319410319, Top-5 Acc: 0.9355036855036855
Epoch 77/200, Loss: 0.0012259753575787095, CE: 8.129081861222085e-05, Reg: 0.0011446845403464117, Top-1 Acc: 0.7794840294840295, Top-5 Acc: 0.9385749385749386
Epoch 78/200, Loss: 0.0012118710294420937, CE: 7.909208380879853e-05, Reg: 0.0011327789512605136, Top-1 Acc: 0.7899262899262899, Top-5 Acc: 0.9373464373464373
Epoch 79/200, Loss: 0.00120297332840233, CE: 7.728428445172064e-05, Reg: 0.0011256890431083188, Top-1 Acc: 0.785012285012285, Top-5 Acc: 0.9398034398034398
Epoch 80/200, Loss: 0.0011907117188967801, CE: 7.706687974322328e-05, Reg: 0.0011136448446642882, Top-1 Acc: 0.7788697788697788, Top-5 Acc: 0.9367321867321867
Epoch 81/200, Loss: 0.0011776203067119927, CE: 7.375919763774444e-05, Reg: 0.0011038611106244213, Top-1 Acc: 0.777027027027027, Top-5 Acc: 0.9312039312039312
Epoch 82/200, Loss: 0.0011674524565901735, CE: 7.389512366392728e-05, Reg: 0.0010935573350050914, Top-1 Acc: 0.777027027027027, Top-5 Acc: 0.9361179361179361
