Executing /workspace/m1_dev/python_env/../adarand/fine_tuning.py
Config: {'seed': 42, 'val_ratio': 0.2, 'data_path': PosixPath('/workspace/m1_dev/python_env/../adarand'), 'batch_size': 32, 'max_iter': 200, 'model_lr': 0.001, 'model_lr_milestones': (60, 120, 160), 'model_lr_drop_rate': 0.1}
Epoch 49/200, Loss: 0.0006577910716721262, Top-1 Acc: 0.6787469287469288, Top-5 Acc: 0.8894348894348895
Epoch 50/200, Loss: 0.0005801716104883221, Top-1 Acc: 0.7315724815724816, Top-5 Acc: 0.9238329238329238
Epoch 51/200, Loss: 0.0001524429212051401, Top-1 Acc: 0.7493857493857494, Top-5 Acc: 0.9281326781326781
Epoch 52/200, Loss: 0.00010640377756116829, Top-1 Acc: 0.7647420147420148, Top-5 Acc: 0.9305896805896806
Epoch 53/200, Loss: 0.00031505389490363094, Top-1 Acc: 0.683046683046683, Top-5 Acc: 0.8925061425061425
Epoch 54/200, Loss: 0.0031442091957046055, Top-1 Acc: 0.5878378378378378, Top-5 Acc: 0.8353808353808354
Epoch 55/200, Loss: 0.00139588878834904, Top-1 Acc: 0.7008599508599509, Top-5 Acc: 0.8937346437346437
Epoch 56/200, Loss: 0.00031656317853425017, Top-1 Acc: 0.7254299754299754, Top-5 Acc: 0.902948402948403
Epoch 57/200, Loss: 0.00025644705514369786, Top-1 Acc: 0.6898034398034398, Top-5 Acc: 0.8955773955773956
Epoch 58/200, Loss: 0.0003566902766641729, Top-1 Acc: 0.6646191646191646, Top-5 Acc: 0.89004914004914
Epoch 59/200, Loss: 0.0013792697413851883, Top-1 Acc: 0.5816953316953317, Top-5 Acc: 0.8445945945945946
Epoch 60/200, Loss: 0.0006823134984506172, Top-1 Acc: 0.7174447174447175, Top-5 Acc: 0.8974201474201474
Epoch 61/200, Loss: 0.0001418927546102468, Top-1 Acc: 0.7278869778869779, Top-5 Acc: 0.9072481572481572
Epoch 62/200, Loss: 9.455381760865752e-05, Top-1 Acc: 0.7383292383292384, Top-5 Acc: 0.9109336609336609
Epoch 63/200, Loss: 8.907473548685357e-05, Top-1 Acc: 0.734029484029484, Top-5 Acc: 0.9115479115479116
Epoch 64/200, Loss: 6.623787893986087e-05, Top-1 Acc: 0.7407862407862408, Top-5 Acc: 0.9127764127764127
Epoch 65/200, Loss: 7.646696920866296e-05, Top-1 Acc: 0.7389434889434889, Top-5 Acc: 0.9158476658476659
Epoch 66/200, Loss: 6.0286149353603905e-05, Top-1 Acc: 0.75, Top-5 Acc: 0.9170761670761671
Epoch 67/200, Loss: 5.764798224330205e-05, Top-1 Acc: 0.7463144963144963, Top-5 Acc: 0.9183046683046683
Epoch 68/200, Loss: 6.251247684243479e-05, Top-1 Acc: 0.742014742014742, Top-5 Acc: 0.9232186732186732
Epoch 69/200, Loss: 5.6797896946241745e-05, Top-1 Acc: 0.7432432432432432, Top-5 Acc: 0.9207616707616708
Epoch 70/200, Loss: 5.327658195464268e-05, Top-1 Acc: 0.7506142506142506, Top-5 Acc: 0.921990171990172
Epoch 71/200, Loss: 5.180315672521542e-05, Top-1 Acc: 0.7481572481572482, Top-5 Acc: 0.9250614250614251
Epoch 72/200, Loss: 5.586949324926285e-05, Top-1 Acc: 0.75, Top-5 Acc: 0.9226044226044227
Epoch 73/200, Loss: 5.7196390001780375e-05, Top-1 Acc: 0.7524570024570024, Top-5 Acc: 0.9238329238329238
Epoch 74/200, Loss: 5.2374864373986534e-05, Top-1 Acc: 0.7536855036855037, Top-5 Acc: 0.9262899262899262
Epoch 75/200, Loss: 4.7580055805776526e-05, Top-1 Acc: 0.7512285012285013, Top-5 Acc: 0.9238329238329238
Epoch 76/200, Loss: 4.5164123525080806e-05, Top-1 Acc: 0.75, Top-5 Acc: 0.9275184275184275
Epoch 77/200, Loss: 5.293702736841216e-05, Top-1 Acc: 0.7518427518427518, Top-5 Acc: 0.9262899262899262
Epoch 78/200, Loss: 4.532028792894563e-05, Top-1 Acc: 0.7567567567567568, Top-5 Acc: 0.9262899262899262
Epoch 79/200, Loss: 4.561809773014623e-05, Top-1 Acc: 0.7530712530712531, Top-5 Acc: 0.9262899262899262
Epoch 80/200, Loss: 4.7947598372990744e-05, Top-1 Acc: 0.7567567567567568, Top-5 Acc: 0.9250614250614251
Epoch 81/200, Loss: 4.7490014219084095e-05, Top-1 Acc: 0.7622850122850123, Top-5 Acc: 0.9287469287469288
Epoch 82/200, Loss: 4.301536111806003e-05, Top-1 Acc: 0.754914004914005, Top-5 Acc: 0.9256756756756757
Epoch 83/200, Loss: 4.615460412656973e-05, Top-1 Acc: 0.7598280098280098, Top-5 Acc: 0.9281326781326781
Epoch 84/200, Loss: 5.1417597368137126e-05, Top-1 Acc: 0.757985257985258, Top-5 Acc: 0.9281326781326781
Epoch 85/200, Loss: 5.162186627937888e-05, Top-1 Acc: 0.7610565110565111, Top-5 Acc: 0.9275184275184275
Epoch 86/200, Loss: 4.80293298753712e-05, Top-1 Acc: 0.7610565110565111, Top-5 Acc: 0.9293611793611793
Epoch 87/200, Loss: 4.828392031613319e-05, Top-1 Acc: 0.7647420147420148, Top-5 Acc: 0.9305896805896806
Epoch 88/200, Loss: 4.766622871156623e-05, Top-1 Acc: 0.7635135135135135, Top-5 Acc: 0.9293611793611793
Epoch 89/200, Loss: 4.892782914686138e-05, Top-1 Acc: 0.7671990171990172, Top-5 Acc: 0.9287469287469288
Epoch 90/200, Loss: 4.4812363549074245e-05, Top-1 Acc: 0.7604422604422605, Top-5 Acc: 0.9318181818181818
Epoch 91/200, Loss: 4.9226419676739086e-05, Top-1 Acc: 0.7665847665847666, Top-5 Acc: 0.9312039312039312
Epoch 92/200, Loss: 4.848718553598768e-05, Top-1 Acc: 0.7622850122850123, Top-5 Acc: 0.9312039312039312
Epoch 93/200, Loss: 4.48268822145428e-05, Top-1 Acc: 0.765970515970516, Top-5 Acc: 0.9305896805896806
